body_pos_x	body_pos_y	body_pos_z	body_quat_w	body_quat_x	body_quat_y	body_quat_z	joint_pos00	joint_pos01	joint_pos02	joint_pos03	joint_pos04	joint_pos05	joint_pos06	joint_pos07	joint_pos08	joint_pos09	joint_pos10	joint_pos11	joint_pos12	joint_pos13	joint_pos14	joint_pos15	joint_pos16	joint_pos17	joint_pos18	joint_pos19	joint_pos20	joint_vel_00	joint_vel_01	joint_vel_02	joint_vel_03	joint_vel_04	joint_vel_05	joint_vel_06	joint_vel_07	joint_vel_08	joint_vel_09	joint_vel_10	joint_vel_11	joint_vel_12	joint_vel_13	joint_vel_14	joint_vel_15	joint_vel_16	joint_vel_17	joint_vel_18	joint_vel_19	joint_vel_20
-0.382303	0.014441	0.094931	-0.000000	0.682634	-0.000000	0.730761	0.000000	-0.471079	-0.038699	-0.331749	0.548106	-0.189726	-0.000007	0.462929	0.039957	0.345648	0.539745	-0.188062	0.015411	0.257070	0.020762	-0.140532	-0.253840	0.256849	-0.020838	0.140507	-0.250541	0.000000	-0.000048	-0.000024	-0.000030	-0.009409	0.004376	-0.000006	0.000146	-0.000004	-0.000028	-0.009134	0.004490	-0.000000	0.002807	-0.003138	0.013740	-0.004914	0.002863	0.003046	-0.013460	-0.005166
-0.382303	0.014441	0.094931	-0.000000	0.682634	-0.000000	0.730761	0.000000	-0.471080	-0.038700	-0.331749	0.547918	-0.189638	-0.000008	0.462931	0.039957	0.345647	0.539562	-0.187972	0.015411	0.257126	0.020699	-0.140257	-0.253938	0.256907	-0.020777	0.140238	-0.250644	0.000000	0.014756	0.002707	0.010489	-0.014175	0.005114	0.000064	-0.016438	-0.003153	-0.011804	-0.016268	0.012020	0.023489	0.003786	-0.004139	0.018138	-0.006641	0.003855	0.004016	-0.017771	-0.006967
-0.382303	0.014441	0.094931	-0.000000	0.682634	-0.000000	0.730761	0.000000	-0.470489	-0.038591	-0.331329	0.547539	-0.189521	-0.000005	0.462271	0.039830	0.345175	0.539094	-0.187581	0.016350	0.257222	0.020597	-0.139806	-0.254105	0.257004	-0.020677	0.139797	-0.250820	0.000000	0.059171	0.010898	0.042043	-0.028478	0.007329	0.000271	-0.066194	-0.012600	-0.047132	-0.037664	0.034611	0.093957	0.006720	-0.007141	0.031330	-0.011824	0.006834	0.006925	-0.030702	-0.012369
-0.382303	0.014441	0.094931	-0.000000	0.682634	-0.000000	0.730761	0.000000	-0.468713	-0.038264	-0.330068	0.546779	-0.189345	0.000003	0.460284	0.039453	0.343762	0.538055	-0.186587	0.019169	0.257395	0.020414	-0.139004	-0.254411	0.257180	-0.020500	0.139010	-0.251139	0.000000	0.059148	0.010897	0.042024	-0.025290	0.005851	0.000273	-0.066266	-0.012609	-0.047155	-0.034656	0.033133	0.093953	0.010813	-0.011006	0.048377	-0.019089	0.010987	0.010673	-0.047415	-0.019933
-0.382303	0.014441	0.094931	-0.000000	0.682634	-0.000000	0.730761	0.000000	-0.468123	-0.038155	-0.329648	0.546527	-0.189287	0.000006	0.459620	0.039326	0.343289	0.537708	-0.186256	0.020108	0.257654	0.020156	-0.137871	-0.254869	0.257443	-0.020250	0.137900	-0.251617	0.000000	0.014697	0.002702	0.010442	-0.006209	0.001420	0.000067	-0.016617	-0.003175	-0.011860	-0.008747	0.008325	0.023479	0.014020	-0.013801	0.060754	-0.024804	0.014237	0.013387	-0.059554	-0.025877
-0.382303	0.014441	0.094931	-0.000000	0.682634	-0.000000	0.730761	0.000000	-0.468125	-0.038156	-0.329650	0.546530	-0.189288	0.000006	0.459619	0.039326	0.343287	0.537705	-0.186255	0.020108	0.257956	0.019862	-0.136574	-0.255403	0.257750	-0.019965	0.136628	-0.252174	0.000000	-0.000216	-0.000053	-0.000154	0.000276	-0.000109	-0.000002	0.000001	-0.000016	-0.000058	-0.000025	0.000020	-0.000017	0.018488	-0.017351	0.076436	-0.032848	0.018791	0.016828	-0.074942	-0.034253
-0.382303	0.014441	0.094931	-0.000000	0.682634	-0.000000	0.730761	0.000000	-0.468131	-0.038157	-0.329654	0.546538	-0.189292	0.000006	0.459620	0.039326	0.343287	0.537707	-0.186255	0.020108	0.258394	0.019462	-0.134814	-0.256183	0.258195	-0.019577	0.134902	-0.252987	0.000000	-0.000338	-0.000083	-0.000238	0.000432	-0.000174	-0.000002	0.000085	0.000002	-0.000012	0.000082	-0.000023	-0.000022	0.023098	-0.020785	0.091569	-0.041188	0.023484	0.020158	-0.089798	-0.042909
-0.382303	0.014441	0.094931	-0.000000	0.682634	-0.000000	0.730761	0.000000	-0.468139	-0.038159	-0.329660	0.546548	-0.189295	0.000006	0.459622	0.039326	0.343287	0.537709	-0.186255	0.020107	0.258880	0.019030	-0.132911	-0.257051	0.258689	-0.019158	0.133036	-0.253891	0.000000	-0.000407	-0.000099	-0.000288	0.000517	-0.000209	-0.000003	0.000137	0.000013	0.000016	0.000145	-0.000050	-0.000028	0.026731	-0.023233	0.102301	-0.047794	0.027148	0.022539	-0.100340	-0.049698
-0.382303	0.014441	0.094931	-0.000000	0.682634	-0.000000	0.730761	0.000000	-0.468148	-0.038161	-0.329666	0.546559	-0.189300	0.000006	0.459626	0.039326	0.343288	0.537712	-0.186257	0.020107	0.259463	0.018533	-0.130722	-0.258094	0.259281	-0.018676	0.130889	-0.254975	0.000000	-0.000387	-0.000093	-0.000279	0.000471	-0.000194	-0.000005	0.000110	-0.000000	-0.000013	0.000086	-0.000029	-0.000035	0.031695	-0.026400	0.116060	-0.056866	0.032172	0.025616	-0.113859	-0.059035
-0.382303	0.014441	0.094931	-0.000000	0.682634	-0.000000	0.730761	0.000000	-0.468154	-0.038163	-0.329671	0.546566	-0.189303	0.000006	0.459627	0.039326	0.343286	0.537712	-0.186257	0.020106	0.260148	0.017974	-0.128268	-0.259325	0.259976	-0.018134	0.128482	-0.256252	0.000000	-0.000290	-0.000066	-0.000217	0.000319	-0.000134	-0.000006	0.000016	-0.000030	-0.000084	-0.000061	0.000029	-0.000042	0.035509	-0.028702	0.125967	-0.063866	0.036043	0.027850	-0.123596	-0.066251
