body_pos_x,body_pos_y,body_pos_z,body_quat_w,body_quat_x,body_quat_y,body_quat_z,joint_pos_00,joint_pos_01,joint_pos_02,joint_pos_03,joint_pos_04,joint_pos_05,joint_pos_06,joint_pos_07,joint_pos_08,joint_pos_09,joint_pos_10,joint_pos_11,joint_pos_12,joint_pos_13,joint_pos_14,joint_pos_15,joint_pos_16,joint_pos_17,joint_pos_18,joint_pos_19,joint_pos_20,joint_vel_00,joint_vel_01,joint_vel_02,joint_vel_03,joint_vel_04,joint_vel_05,joint_vel_06,joint_vel_07,joint_vel_08,joint_vel_09,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20
0.000000,0.000000,0.765916,0.714783,0.012655,0.015117,-0.699068,0.015122,-0.460184,-0.051492,-0.425150,0.626374,-0.292219,0.020805,0.380266,-0.018242,0.215905,0.541435,-0.271760,0.020690,-0.006793,0.307058,-0.583787,-0.662149,0.222846,-0.303348,0.451283,-0.883757,-0.092955,-0.255093,-0.021315,-0.102703,0.050095,0.048776,-0.011288,0.319429,0.100823,0.309215,0.054666,0.095351,-0.011066,-0.476959,0.172862,-1.275805,0.182292,-0.362705,-0.085177,0.927730,0.586176
-0.000041,0.000539,0.765832,0.714768,0.012810,0.015343,-0.699077,0.013263,-0.465286,-0.051918,-0.427204,0.627376,-0.291244,0.020579,0.386654,-0.016226,0.222089,0.542528,-0.269853,0.020469,-0.016332,0.310516,-0.609303,-0.658503,0.215592,-0.305051,0.469837,-0.872033,-0.082494,-0.241446,-0.020387,-0.098525,0.047131,0.046903,-0.009871,0.293852,0.094537,0.281825,0.045121,0.091456,-0.011557,-0.462061,0.160431,-1.227370,0.184643,-0.368056,-0.077619,0.895088,0.599438
-0.000077,0.001015,0.765761,0.714754,0.012950,0.015558,-0.699083,0.011823,-0.469842,-0.052308,-0.429091,0.628259,-0.290343,0.020410,0.392020,-0.014461,0.227178,0.543240,-0.268101,0.020228,-0.025276,0.313476,-0.632882,-0.654764,0.208124,-0.306453,0.487086,-0.859779,-0.062890,-0.214892,-0.018680,-0.091326,0.041305,0.043291,-0.007712,0.245018,0.082298,0.229516,0.027333,0.083785,-0.012230,-0.431896,0.136208,-1.130980,0.187910,-0.376226,-0.062936,0.829983,0.621790
-0.000108,0.001432,0.765704,0.714738,0.013138,0.015857,-0.699089,0.010748,-0.473881,-0.052666,-0.430857,0.629028,-0.289512,0.020271,0.396455,-0.012934,0.231270,0.543622,-0.266501,0.019980,-0.033608,0.315964,-0.654543,-0.650987,0.200543,-0.307569,0.503036,-0.847162,-0.046569,-0.190309,-0.017281,-0.087016,0.035615,0.039995,-0.007186,0.201982,0.071008,0.183497,0.012515,0.076633,-0.012216,-0.401531,0.113735,-1.037332,0.188179,-0.379077,-0.049400,0.766425,0.635226
-0.000133,0.001801,0.765673,0.714732,0.013251,0.016040,-0.699089,0.009960,-0.477454,-0.052999,-0.432572,0.629684,-0.288743,0.020123,0.400099,-0.011620,0.234518,0.543740,-0.265036,0.019740,-0.041337,0.318025,-0.674375,-0.647236,0.192961,-0.308429,0.517743,-0.834370,-0.033756,-0.168030,-0.016241,-0.086677,0.029758,0.037917,-0.009215,0.165092,0.060750,0.144018,0.000243,0.070381,-0.010992,-0.372012,0.093787,-0.949657,0.185443,-0.376511,-0.037479,0.706607,0.639282
-0.000151,0.002130,0.765691,0.714719,0.013510,0.016438,-0.699088,0.009398,-0.480602,-0.053315,-0.434324,0.630219,-0.287995,0.019902,0.403058,-0.010504,0.237030,0.543631,-0.263686,0.019540,-0.048489,0.319715,-0.692529,-0.643569,0.185483,-0.309068,0.531301,-0.821590,-0.024132,-0.149118,-0.015702,-0.085510,0.025943,0.035258,-0.010220,0.135195,0.051670,0.111393,-0.007540,0.063969,-0.010009,-0.342317,0.075746,-0.865047,0.179493,-0.368228,-0.026806,0.648537,0.633742
-0.000166,0.002424,0.765710,0.714700,0.013837,0.016963,-0.699089,0.008995,-0.483419,-0.053627,-0.435992,0.630722,-0.287333,0.019714,0.405507,-0.009553,0.238973,0.543439,-0.262477,0.019339,-0.055030,0.321055,-0.708977,-0.640057,0.178232,-0.309501,0.543685,-0.809021,-0.017525,-0.134091,-0.015797,-0.084006,0.025086,0.030392,-0.009576,0.115207,0.044481,0.089527,-0.007910,0.056153,-0.009791,-0.312947,0.059856,-0.784829,0.170524,-0.354537,-0.017526,0.593130,0.618984
-0.000178,0.002694,0.765722,0.714687,0.014020,0.017271,-0.699090,0.008697,-0.485966,-0.053947,-0.437685,0.631222,-0.286780,0.019519,0.407667,-0.008724,0.240611,0.543315,-0.261440,0.019149,-0.061007,0.322110,-0.723922,-0.636748,0.171301,-0.309769,0.555026,-0.796831,-0.011744,-0.120821,-0.015874,-0.079758,0.024383,0.025415,-0.010428,0.102533,0.038681,0.075202,-0.003743,0.046650,-0.009398,-0.285675,0.046444,-0.713021,0.162789,-0.342012,-0.009488,0.543490,0.605384
-0.000188,0.002942,0.765722,0.714675,0.014251,0.017672,-0.699088,0.008525,-0.488252,-0.054262,-0.439183,0.631697,-0.286316,0.019297,0.409608,-0.008006,0.241981,0.543289,-0.260611,0.018963,-0.066457,0.322913,-0.737498,-0.633545,0.164551,-0.309880,0.565424,-0.784805,-0.006417,-0.108302,-0.016184,-0.074279,0.024362,0.021937,-0.012054,0.092538,0.033230,0.064507,0.001690,0.037020,-0.008627,-0.257075,0.035212,-0.644827,0.142935,-0.307559,-0.003776,0.495915,0.556263
-0.000195,0.003164,0.765716,0.714670,0.014380,0.017903,-0.699085,0.008440,-0.490298,-0.054595,-0.440656,0.632197,-0.285902,0.019037,0.411368,-0.007395,0.243192,0.543383,-0.259959,0.018804,-0.071290,0.323518,-0.749715,-0.631031,0.158999,-0.309920,0.574863,-0.774580,-0.002025,-0.097526,-0.016636,-0.069477,0.024901,0.019711,-0.011176,0.083306,0.028345,0.056362,0.005627,0.030648,-0.007973,-0.226884,0.026494,-0.577423,0.114107,-0.259015,-0.000456,0.447842,0.485003
-0.000203,0.003361,0.765713,0.714664,0.014496,0.018105,-0.699084,0.008444,-0.492153,-0.054927,-0.441962,0.632693,-0.285528,0.018850,0.412940,-0.006872,0.244236,0.543514,-0.259385,0.018644,-0.075532,0.323972,-0.760595,-0.628981,0.154191,-0.309899,0.583338,-0.765405,0.001820,-0.086065,-0.016375,-0.060390,0.023207,0.017947,-0.008277,0.072496,0.023441,0.047427,0.005892,0.026499,-0.007186,-0.196335,0.019689,-0.508443,0.091484,-0.224844,0.002638,0.397712,0.436282
-0.000204,0.003527,0.765711,0.714648,0.014640,0.018353,-0.699090,0.008513,-0.493741,-0.055250,-0.443071,0.633125,-0.285184,0.018706,0.414268,-0.006458,0.245089,0.543618,-0.258899,0.018516,-0.079143,0.324306,-0.770053,-0.627372,0.150005,-0.309814,0.590771,-0.757129,0.004265,-0.072725,-0.015830,-0.052744,0.020403,0.017345,-0.007394,0.060603,0.018195,0.038492,0.004879,0.022178,-0.004882,-0.165936,0.014713,-0.440775,0.070161,-0.195624,0.005750,0.347723,0.393066
-0.000201,0.003663,0.765708,0.714631,0.014717,0.018489,-0.699103,0.008614,-0.495062,-0.055561,-0.444071,0.633509,-0.284834,0.018554,0.415364,-0.006145,0.245776,0.543709,-0.258498,0.018449,-0.082169,0.324561,-0.778226,-0.626174,0.146366,-0.309669,0.597247,-0.749682,0.005724,-0.060467,-0.015246,-0.045004,0.019987,0.014816,-0.004102,0.049872,0.013372,0.031107,0.005595,0.017541,-0.002462,-0.136901,0.011638,-0.377625,0.050029,-0.168828,0.008769,0.300570,0.351653
-0.000194,0.003771,0.765707,0.714593,0.014807,0.018651,-0.699135,0.008742,-0.496159,-0.055859,-0.444872,0.633924,-0.284592,0.018542,0.416263,-0.005923,0.246333,0.543842,-0.258197,0.018418,-0.084619,0.324771,-0.785158,-0.625370,0.143252,-0.309464,0.602794,-0.743063,0.007194,-0.050395,-0.014864,-0.038509,0.022152,0.009919,0.000872,0.042032,0.009586,0.026380,0.009543,0.011721,-0.000983,-0.109342,0.010274,-0.318694,0.031802,-0.143941,0.011591,0.256371,0.311674
-0.000183,0.003859,0.765701,0.714566,0.014849,0.018737,-0.699160,0.008902,-0.497077,-0.056155,-0.445612,0.634395,-0.284437,0.018589,0.417046,-0.005761,0.246831,0.544091,-0.258029,0.018410,-0.086543,0.324972,-0.790974,-0.624902,0.140608,-0.309205,0.607502,-0.737215,0.009055,-0.042769,-0.014130,-0.034615,0.024977,0.005023,0.002772,0.035855,0.007219,0.021687,0.013924,0.005499,0.000317,-0.085028,0.010429,-0.267084,0.016811,-0.122249,0.014069,0.217463,0.275427
-0.000166,0.003933,0.765690,0.714538,0.014878,0.018805,-0.699185,0.009104,-0.497870,-0.056425,-0.446256,0.634923,-0.284391,0.018653,0.417697,-0.005634,0.247201,0.544399,-0.257977,0.018430,-0.088020,0.325188,-0.795841,-0.624698,0.138362,-0.308901,0.611492,-0.732046,0.009923,-0.037328,-0.012883,-0.033586,0.027868,0.001441,0.002709,0.028776,0.005846,0.016285,0.015301,0.001698,0.001464,-0.063992,0.011823,-0.222073,0.005202,-0.103351,0.016277,0.183690,0.242601
-0.000147,0.004000,0.765681,0.714500,0.014900,0.018885,-0.699221,0.009299,-0.498570,-0.056670,-0.446955,0.635510,-0.284380,0.018697,0.418197,-0.005527,0.247482,0.544703,-0.257961,0.018468,-0.089103,0.325445,-0.799857,-0.624694,0.136474,-0.308554,0.614849,-0.727511,0.009741,-0.034133,-0.011069,-0.032745,0.029059,-0.000604,0.002500,0.021059,0.005283,0.010921,0.012386,0.002462,0.001931,-0.046936,0.014060,-0.184953,-0.002281,-0.087722,0.018287,0.156298,0.214496
-0.000133,0.004069,0.765679,0.714477,0.014900,0.018923,-0.699245,0.009493,-0.499236,-0.056867,-0.447566,0.636086,-0.284415,0.018753,0.418540,-0.005423,0.247637,0.544894,-0.257879,0.018508,-0.089898,0.325751,-0.803239,-0.624789,0.134853,-0.308169,0.617744,-0.723466,0.008525,-0.032341,-0.008665,-0.028739,0.027725,-0.001767,0.002027,0.013693,0.005328,0.005385,0.006025,0.005133,0.001817,-0.034527,0.016662,-0.157449,-0.004698,-0.076146,0.019991,0.136463,0.192624
-0.000123,0.004144,0.765677,0.714447,0.014882,0.018963,-0.699274,0.009640,-0.499864,-0.057017,-0.448105,0.636619,-0.284450,0.018778,0.418744,-0.005314,0.247697,0.544944,-0.257756,0.018541,-0.090484,0.326111,-0.806155,-0.624882,0.133428,-0.307754,0.620308,-0.719806,0.005713,-0.029313,-0.006248,-0.024595,0.024603,-0.001033,-0.000012,0.006413,0.005131,0.000419,-0.001459,0.007170,0.001536,-0.026235,0.019113,-0.138304,-0.002481,-0.068087,0.021333,0.123018,0.176287
