body_pos_x,body_pos_y,body_pos_z,body_quat_w,body_quat_x,body_quat_y,body_quat_z,joint_pos_00,joint_pos_01,joint_pos_02,joint_pos_03,joint_pos_04,joint_pos_05,joint_pos_06,joint_pos_07,joint_pos_08,joint_pos_09,joint_pos_10,joint_pos_11,joint_pos_12,joint_pos_13,joint_pos_14,joint_pos_15,joint_pos_16,joint_pos_17,joint_pos_18,joint_pos_19,joint_pos_20,joint_vel_00,joint_vel_01,joint_vel_02,joint_vel_03,joint_vel_04,joint_vel_05,joint_vel_06,joint_vel_07,joint_vel_08,joint_vel_09,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20
0.000000,-0.000000,0.755771,0.705008,0.037124,0.060878,-0.705605,0.090907,-0.722666,-0.126232,-0.610497,0.575554,-0.191935,-0.090909,0.696937,0.148021,0.381369,0.645494,-0.220315,-0.067783,-0.128449,0.161664,-0.779357,-0.530511,-0.001272,-0.145085,0.740671,-0.699954,0.045182,0.378641,0.110085,0.106806,0.017628,-0.166619,0.011572,-0.228727,-0.160549,-0.259410,0.285873,-0.358046,0.011167,-0.130074,0.160735,-1.343817,-0.095785,0.026510,-0.149763,0.802904,0.342110
0.000222,-0.001078,0.755926,0.705220,0.036704,0.060395,-0.705457,0.091810,-0.715093,-0.124031,-0.608361,0.575907,-0.195267,-0.090678,0.692363,0.144810,0.376181,0.651212,-0.227475,-0.067560,-0.131051,0.164878,-0.806233,-0.532427,-0.000742,-0.148080,0.756729,-0.693112,0.038235,0.387022,0.114978,0.126784,0.004913,-0.163715,0.013126,-0.340945,-0.190998,-0.314742,0.108877,-0.276316,0.012247,-0.099420,0.140492,-1.214786,-0.084546,0.040369,-0.130296,0.723612,0.325210
0.000435,-0.002199,0.756394,0.705405,0.036303,0.059923,-0.705334,0.092436,-0.707185,-0.121633,-0.605426,0.575751,-0.198484,-0.090384,0.683299,0.140381,0.368779,0.649850,-0.231367,-0.067293,-0.132426,0.167283,-0.827948,-0.533893,0.000343,-0.150296,0.769616,-0.686946,0.026686,0.399578,0.122731,0.161885,-0.017117,-0.158333,0.016023,-0.554389,-0.246991,-0.421336,-0.228293,-0.120055,0.014444,-0.040404,0.101909,-0.966187,-0.063740,0.067022,-0.093321,0.571263,0.291111
0.000637,-0.003345,0.757137,0.705640,0.035733,0.059233,-0.705186,0.092878,-0.699110,-0.119122,-0.601885,0.575222,-0.201601,-0.090037,0.670187,0.134930,0.359327,0.642080,-0.232278,-0.066982,-0.132667,0.168955,-0.844881,-0.534977,0.001939,-0.151813,0.779580,-0.681468,0.020509,0.403288,0.126144,0.186338,-0.032045,-0.153955,0.018505,-0.740841,-0.291687,-0.517364,-0.523993,0.018056,0.016830,0.012859,0.067914,-0.741413,-0.046720,0.091016,-0.061011,0.434402,0.257018
0.000828,-0.004493,0.758039,0.705769,0.035372,0.058789,-0.705112,0.093256,-0.691053,-0.116588,-0.597972,0.574469,-0.204642,-0.089644,0.653666,0.128713,0.348085,0.628890,-0.230645,-0.066620,-0.131912,0.170000,-0.857605,-0.535762,0.003984,-0.152737,0.786992,-0.676665,0.020461,0.396787,0.124321,0.197776,-0.037946,-0.150982,0.020383,-0.899220,-0.324780,-0.603407,-0.775957,0.136814,0.019579,0.058534,0.039678,-0.548211,-0.034069,0.111522,-0.034481,0.317748,0.224113
0.001008,-0.005619,0.758957,0.706082,0.034601,0.057886,-0.704911,0.093696,-0.683238,-0.114149,-0.593974,0.573704,-0.207640,-0.089222,0.634218,0.121939,0.335191,0.611042,-0.226805,-0.066199,-0.130326,0.170542,-0.866809,-0.536340,0.006400,-0.153192,0.792290,-0.672503,0.025089,0.380409,0.117988,0.198150,-0.035684,-0.148279,0.021244,-1.031631,-0.346597,-0.679687,-0.988749,0.239694,0.021360,0.097963,0.016414,-0.380883,-0.025503,0.129141,-0.013006,0.217904,0.191261
0.001175,-0.006711,0.759981,0.706447,0.033530,0.056574,-0.704704,0.094260,-0.675837,-0.111868,-0.590046,0.573042,-0.210573,-0.088794,0.612401,0.114849,0.320897,0.589340,-0.221057,-0.065765,-0.127993,0.170656,-0.872840,-0.536782,0.009149,-0.153257,0.795708,-0.669015,0.030744,0.360475,0.110806,0.192787,-0.028640,-0.146616,0.022036,-1.103133,-0.348653,-0.722945,-1.106000,0.300311,0.021511,0.130672,-0.001640,-0.241458,-0.021048,0.143663,0.003208,0.136037,0.159004
0.001328,-0.007775,0.760976,0.706624,0.032873,0.055736,-0.704624,0.094926,-0.668819,-0.109716,-0.586263,0.572559,-0.213505,-0.088340,0.590093,0.107993,0.306273,0.566802,-0.214793,-0.065338,-0.125099,0.170476,-0.876468,-0.537181,0.012147,-0.153064,0.797731,-0.666143,0.034684,0.342390,0.104325,0.186300,-0.020127,-0.145537,0.023246,-1.072839,-0.322272,-0.705370,-1.066560,0.290751,0.021118,0.154346,-0.014456,-0.137171,-0.019954,0.155021,0.014364,0.075531,0.133468
0.001471,-0.008814,0.761817,0.706814,0.031948,0.054534,-0.704571,0.095647,-0.662141,-0.107695,-0.582594,0.572237,-0.216394,-0.087865,0.569487,0.101958,0.292682,0.546677,-0.209427,-0.064921,-0.121819,0.170078,-0.878327,-0.537580,0.015350,-0.152682,0.798729,-0.663676,0.035955,0.326250,0.098054,0.180499,-0.012378,-0.143377,0.023542,-1.002255,-0.287026,-0.662467,-0.968131,0.254643,0.019866,0.170336,-0.017584,-0.067616,-0.027397,0.161977,0.015034,0.041670,0.094625
0.001609,-0.009829,0.762548,0.706895,0.031366,0.053770,-0.704574,0.096364,-0.655769,-0.105794,-0.579043,0.572064,-0.219240,-0.087399,0.550003,0.096512,0.279774,0.528077,-0.204607,-0.064544,-0.118285,0.169773,-0.879172,-0.538277,0.018626,-0.152462,0.799398,-0.662358,0.034759,0.311588,0.092684,0.175504,-0.004780,-0.141803,0.022795,-0.955310,-0.261173,-0.633749,-0.905092,0.233253,0.017347,0.180423,-0.013515,-0.028217,-0.041479,0.165042,0.008084,0.029038,0.049099
