body_pos_x,body_pos_y,body_pos_z,body_quat_w,body_quat_x,body_quat_y,body_quat_z,joint_pos_00,joint_pos_01,joint_pos_02,joint_pos_03,joint_pos_04,joint_pos_05,joint_pos_06,joint_pos_07,joint_pos_08,joint_pos_09,joint_pos_10,joint_pos_11,joint_pos_12,joint_pos_13,joint_pos_14,joint_pos_15,joint_pos_16,joint_pos_17,joint_pos_18,joint_pos_19,joint_pos_20,joint_vel_00,joint_vel_01,joint_vel_02,joint_vel_03,joint_vel_04,joint_vel_05,joint_vel_06,joint_vel_07,joint_vel_08,joint_vel_09,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20
-0.000000,0.000000,0.763643,0.685382,0.002661,0.019224,-0.727925,-0.001522,-0.188121,0.000351,-0.111407,0.323282,-0.220184,0.053943,0.155563,0.051286,0.200196,0.312136,-0.228312,-0.028222,-0.007240,0.010791,-0.088251,-0.013351,0.000237,-0.008309,0.084198,-0.012545,0.104223,-10.763179,-1.440986,-7.658091,10.708812,-3.639040,-0.063113,9.660879,1.882298,6.279899,10.274282,-3.532128,0.033560,-2.152290,1.396178,-12.630913,-2.771248,-1.193153,-1.051719,13.460103,-2.761216
-0.000028,0.006145,0.761227,0.685306,0.007883,0.024642,-0.727796,0.000563,-0.403385,-0.028469,-0.264569,0.537458,-0.292965,0.052681,0.348781,0.088932,0.325794,0.517622,-0.298955,-0.027551,-0.050285,0.038715,-0.340869,-0.068776,-0.023626,-0.029343,0.353400,-0.067769,0.069452,-5.803536,-0.800565,-4.145823,5.787864,-1.959976,-0.017486,5.118049,1.014873,3.296905,5.442816,-1.874451,0.021677,-1.784940,0.882608,-8.939200,-2.220846,-1.110747,-0.648290,9.523691,-2.249036
-0.000170,0.006521,0.760894,0.685381,0.008433,0.025309,-0.727696,0.001257,-0.420263,-0.031671,-0.277240,0.554796,-0.298583,0.053244,0.360285,0.091881,0.332073,0.529849,-0.303290,-0.027355,-0.078637,0.046096,-0.445819,-0.102185,-0.044193,-0.034240,0.465145,-0.102506,0.017378,-0.435378,-0.084956,-0.336182,0.443797,-0.146141,0.014122,0.297158,0.075841,0.160701,0.315337,-0.114171,-0.002863,-0.791683,0.197940,-2.875874,-0.934546,-0.576858,-0.130069,3.068532,-0.973652
-0.000236,0.006442,0.760891,0.685471,0.008571,0.025370,-0.727607,0.001258,-0.420800,-0.031867,-0.278016,0.555210,-0.298810,0.053246,0.360667,0.091966,0.332222,0.530235,-0.303521,-0.027666,-0.081953,0.046632,-0.455904,-0.106157,-0.046700,-0.034546,0.476141,-0.106715,0.003450,-0.029320,-0.007217,-0.029618,0.023183,-0.004094,-0.018586,0.016957,0.004831,0.000213,0.019139,-0.012539,-0.015730,-0.165206,0.025521,-0.483146,-0.197014,-0.123964,-0.014269,0.534958,-0.208744
-0.000348,0.006339,0.760907,0.685534,0.008644,0.025403,-0.727546,0.001395,-0.421436,-0.031960,-0.278425,0.555724,-0.298747,0.052500,0.360963,0.092074,0.332081,0.530614,-0.303792,-0.027985,-0.085245,0.047116,-0.465145,-0.110065,-0.049151,-0.034811,0.486544,-0.110856,0.006189,-0.025597,-0.003412,-0.029924,0.022684,0.003946,-0.009863,0.009523,0.004854,-0.010734,0.016209,-0.016144,-0.005483,-0.164139,0.023627,-0.443806,-0.194110,-0.120814,-0.012373,0.506683,-0.205386
-0.000491,0.006254,0.760865,0.685596,0.008713,0.025421,-0.727486,0.001506,-0.421824,-0.032003,-0.279213,0.556117,-0.298653,0.052851,0.361048,0.092160,0.331793,0.530883,-0.304167,-0.027885,-0.088518,0.047577,-0.473657,-0.113922,-0.051533,-0.035041,0.496408,-0.114931,0.009948,-0.020834,-0.003492,-0.028704,0.019021,-0.000848,0.007523,0.003585,0.002930,-0.012569,0.011221,-0.012933,-0.009512,-0.162505,0.022281,-0.407714,-0.191436,-0.117024,-0.010723,0.480224,-0.202018
-0.000563,0.006139,0.760889,0.685626,0.008805,0.025468,-0.727455,0.001792,-0.422269,-0.032100,-0.279573,0.556485,-0.298781,0.052801,0.361107,0.092191,0.331578,0.531063,-0.304309,-0.028365,-0.091746,0.048008,-0.481454,-0.117723,-0.053832,-0.035240,0.505753,-0.118937,0.010842,-0.020544,-0.001816,-0.019333,0.019692,-0.000397,-0.018530,0.001930,0.003719,-0.007084,0.006385,-0.008702,-0.023517,-0.159355,0.020339,-0.374854,-0.188470,-0.113113,-0.009495,0.456559,-0.198673
-0.000698,0.006008,0.760895,0.685609,0.008878,0.025492,-0.727470,0.001939,-0.422646,-0.032076,-0.279987,0.556905,-0.298668,0.052110,0.361125,0.092309,0.331510,0.531139,-0.304515,-0.028826,-0.094893,0.048391,-0.488651,-0.121461,-0.056058,-0.035421,0.514671,-0.122878,0.010337,-0.015597,0.000983,-0.021023,0.021151,0.007486,0.009229,-0.003865,0.003866,-0.013245,0.005499,-0.013347,-0.002012,-0.154986,0.018529,-0.348780,-0.185386,-0.108857,-0.008615,0.436249,-0.195282
-0.000843,0.005901,0.760877,0.685584,0.008957,0.025497,-0.727492,0.002206,-0.422893,-0.032061,-0.280414,0.557331,-0.298481,0.053170,0.360952,0.092346,0.331049,0.531283,-0.304843,-0.028446,-0.097945,0.048749,-0.495405,-0.125138,-0.058187,-0.035585,0.523203,-0.126748,0.018550,-0.006098,-0.000592,-0.018688,0.018939,-0.002608,0.012746,-0.011971,-0.000178,-0.021188,0.006562,-0.012114,-0.006641,-0.149968,0.017505,-0.329127,-0.182286,-0.103823,-0.007972,0.418328,-0.191786
-0.000902,0.005769,0.760905,0.685522,0.008960,0.025491,-0.727550,0.002681,-0.422890,-0.032100,-0.280734,0.557662,-0.298773,0.052620,0.360646,0.092301,0.330662,0.531401,-0.305000,-0.029091,-0.100891,0.049091,-0.501816,-0.128752,-0.060210,-0.035739,0.531404,-0.130549,0.020094,-0.004181,-0.000021,-0.011879,0.019306,0.000915,-0.020924,-0.015204,-0.000584,-0.023054,0.004950,-0.006689,-0.024639,-0.145037,0.016763,-0.312549,-0.179205,-0.098540,-0.007680,0.402944,-0.188297
