body_pos_x,body_pos_y,body_pos_z,body_quat_w,body_quat_x,body_quat_y,body_quat_z,joint_pos00,joint_pos01,joint_pos02,joint_pos03,joint_pos04,joint_pos05,joint_pos06,joint_pos07,joint_pos08,joint_pos09,joint_pos10,joint_pos11,joint_pos12,joint_pos13,joint_pos14,joint_pos15,joint_pos16,joint_pos17,joint_pos18,joint_pos19,joint_pos20,joint_vel_00,joint_vel_01,joint_vel_02,joint_vel_03,joint_vel_04,joint_vel_05,joint_vel_06,joint_vel_07,joint_vel_08,joint_vel_09,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20
-0.252672,2.314707,0.757176,0.002786,0.020274,0.017576,-0.999636,-0.000375,-0.731095,-0.123704,-0.595909,0.951093,-0.417,0.017802,0.522123,0.112347,0.35494,0.750125,-0.37127,-0.059749,-0.08315,0.062801,-0.56576,-0.2035,-0.083868,-0.05084,0.376482,-0.163307,0.003207,-0.003663,-0.014829,0.009054,-0.000331,0.008968,0.003245,0.027651,-0.006009,0.022276,0.015399,-0.010385,-0.002237,-0.038026,0.018967,-0.1425,-0.164693,-0.042775,0.011351,0.145313,-0.140282
-0.252635,2.314676,0.757176,0.002769,0.020311,0.017518,-0.999636,-0.000311,-0.731168,-0.124,-0.595728,0.951086,-0.416821,0.017867,0.522676,0.112227,0.355386,0.750433,-0.371478,-0.059793,-0.08391,0.063181,-0.56861,-0.206794,-0.084724,-0.050613,0.379388,-0.166112,0.00561,-0.002263,-0.01597,0.003304,-0.002921,0.008884,0.006078,0.027111,-0.005552,0.022932,0.015566,-0.009849,-0.004736,-0.035746,0.019043,-0.136946,-0.163021,-0.041569,0.01101,0.141147,-0.138962
-0.252592,2.314653,0.757178,0.002729,0.020334,0.017452,-0.999637,-0.000151,-0.731185,-0.124343,-0.595777,0.950976,-0.416645,0.018045,0.523207,0.112125,0.355858,0.750748,-0.371664,-0.059938,-0.08458,0.063563,-0.571238,-0.210021,-0.085531,-0.0504,0.382128,-0.168865,0.005292,-0.002733,-0.014578,0.002761,-0.003825,0.00991,0.003574,0.027214,-0.004143,0.0191,0.016873,-0.003858,0.009283,-0.031376,0.019125,-0.126368,-0.159661,-0.039062,0.010331,0.132556,-0.136297
-0.25255,2.314637,0.757176,0.002686,0.020389,0.017376,-0.999638,-0.0001,-0.731277,-0.124583,-0.595618,0.950933,-0.416425,0.018009,0.523764,0.112061,0.35615,0.751108,-0.371632,-0.059422,-0.085165,0.063946,-0.573665,-0.21318,-0.086286,-0.0502,0.38469,-0.171564,0.000333,-0.003444,-0.013793,0.004523,-0.00308,0.012611,0.001506,0.026563,-0.004072,0.022867,0.012831,-0.00353,0.003891,-0.027479,0.019063,-0.116585,-0.156341,-0.036356,0.009611,0.123775,-0.133593
-0.25251,2.314606,0.75719,0.002707,0.020422,0.017321,-0.999638,-0.000138,-0.731323,-0.124894,-0.595596,0.950853,-0.416141,0.018105,0.524269,0.111962,0.356772,0.751261,-0.371805,-0.059783,-0.085679,0.064326,-0.575902,-0.216275,-0.086985,-0.050015,0.387079,-0.174209,-0.003678,-0.003336,-0.012453,0.003877,-0.002687,0.012273,0.006328,0.024398,-0.003449,0.022385,0.01166,-0.005971,-0.005032,-0.024461,0.01877,-0.107023,-0.153234,-0.033614,0.008749,0.115414,-0.130945
-0.252477,2.314588,0.757189,0.002764,0.020473,0.017254,-0.999638,-0.000247,-0.731411,-0.125082,-0.595463,0.950826,-0.415934,0.018263,0.52474,0.111923,0.357045,0.751575,-0.371871,-0.059623,-0.086144,0.064697,-0.577946,-0.21931,-0.087631,-0.04985,0.389307,-0.176802,-0.006825,-0.002374,-0.010762,0.002494,-0.002959,0.008901,0.002906,0.022866,-0.002325,0.015286,0.014515,-0.001228,0.009449,-0.022179,0.01826,-0.097027,-0.150227,-0.030766,0.007731,0.107253,-0.128342
-0.252458,2.314562,0.757178,0.00284,0.020512,0.017213,-0.999637,-0.000411,-0.731418,-0.125325,-0.595496,0.950734,-0.415785,0.018221,0.525184,0.111869,0.357384,0.751842,-0.371855,-0.059405,-0.086566,0.065056,-0.579783,-0.222284,-0.088216,-0.049706,0.391369,-0.179343,-0.007676,0.00013,-0.011196,-0.000757,-0.003605,0.005914,0.001909,0.019982,-0.003552,0.019313,0.011414,-0.004099,-0.000415,-0.020316,0.017674,-0.087468,-0.147304,-0.028123,0.006749,0.099343,-0.125906
-0.252422,2.314533,0.75718,0.00289,0.020519,0.017172,-0.999638,-0.000554,-0.731406,-0.125529,-0.595493,0.950682,-0.415697,0.018339,0.525539,0.111781,0.357818,0.752031,-0.372035,-0.05964,-0.086956,0.065404,-0.581445,-0.225202,-0.088756,-0.04958,0.39328,-0.181838,-0.006769,0.002508,-0.008462,0.00535,-0.000383,0.004137,0.004081,0.014545,-0.005269,0.013663,0.013147,-0.008152,-0.003799,-0.018737,0.017076,-0.079162,-0.144602,-0.025852,0.005749,0.091368,-0.123649
-0.252409,2.314516,0.757175,0.002995,0.020506,0.017114,-0.999639,-0.000682,-0.731318,-0.125663,-0.595282,0.950719,-0.415619,0.018384,0.525766,0.111658,0.35793,0.752368,-0.372181,-0.059557,-0.087315,0.065739,-0.582949,-0.228068,-0.08925,-0.049476,0.395023,-0.184289,-0.006794,0.005913,-0.007374,0.007406,0.000599,0.002979,0.002155,0.010727,-0.007425,0.001611,0.016174,-0.005427,0.011431,-0.017204,0.016387,-0.072137,-0.142098,-0.023665,0.004613,0.083074,-0.121495
-0.252393,2.314494,0.757168,0.003116,0.020489,0.017076,-0.999639,-0.000826,-0.731169,-0.125824,-0.595197,0.950705,-0.415578,0.018425,0.525968,0.111484,0.357882,0.752678,-0.372252,-0.059183,-0.087644,0.066059,-0.58433,-0.230886,-0.089702,-0.049396,0.396603,-0.186698,-0.005748,0.009559,-0.008699,0.004622,-0.000234,0.002963,0.001253,0.0075,-0.009417,0.002871,0.012656,-0.005896,0.007195,-0.015806,0.015619,-0.066255,-0.139883,-0.021782,0.003472,0.075091,-0.119473
