body_pos_x	body_pos_y	body_pos_z	body_quat_w	body_quat_x	body_quat_y	body_quat_z	joint_pos00	joint_pos01	joint_pos02	joint_pos03	joint_pos04	joint_pos05	joint_pos06	joint_pos07	joint_pos08	joint_pos09	joint_pos10	joint_pos11	joint_pos12	joint_pos13	joint_pos14	joint_pos15	joint_pos16	joint_pos17	joint_pos18	joint_pos19	joint_pos20	joint_vel_00	joint_vel_01	joint_vel_02	joint_vel_03	joint_vel_04	joint_vel_05	joint_vel_06	joint_vel_07	joint_vel_08	joint_vel_09	joint_vel_10	joint_vel_11	joint_vel_12	joint_vel_13	joint_vel_14	joint_vel_15	joint_vel_16	joint_vel_17	joint_vel_18	joint_vel_19	joint_vel_20
0.428173	1.177520	0.778087	0.680008	-0.007707	-0.013403	-0.733042	0.002441	0.001428	-0.051686	0.246647	0.324211	-0.279762	0.066754	-0.011813	0.062958	-0.199384	0.265563	-0.235681	-0.051927	0.011509	0.013386	-0.098114	-0.010381	0.008349	-0.010806	0.055400	-0.008208	1.019891	-13.130027	1.094116	-9.525697	16.132244	-7.012114	0.271494	11.117159	-0.805307	7.518603	13.760838	-6.150374	-0.119253	1.815346	1.927067	-13.734365	-2.376893	0.864074	-2.020259	12.928152	-2.159915
0.428682	1.182029	0.774637	0.673747	-0.005516	-0.011163	-0.738857	0.022839	-0.261172	-0.029804	0.056133	0.646856	-0.420005	0.072183	0.210531	0.046852	-0.049011	0.540780	-0.358689	-0.054312	0.047816	0.051927	-0.372801	-0.057919	0.025630	-0.051211	0.313963	-0.051406	0.486523	-8.584425	0.506406	-6.214003	10.229534	-4.273335	0.174297	7.429369	-0.346125	5.135476	8.885138	-3.822302	-0.082013	0.903931	1.566584	-10.467073	-2.332387	0.195505	-1.535381	9.955465	-2.103214
0.428993	1.183756	0.772800	0.673604	-0.004257	-0.009653	-0.739017	0.021902	-0.341949	-0.031430	-0.001913	0.733392	-0.450696	0.073725	0.285362	0.049113	0.006035	0.620969	-0.388573	-0.055207	0.047666	0.076049	-0.516797	-0.103677	0.016169	-0.072221	0.453619	-0.092336	-0.080423	-2.346092	-0.062293	-1.646284	2.527037	-0.884951	0.025409	2.176280	0.065613	1.672460	2.305727	-0.893147	-0.023665	-0.187693	0.882846	-5.064379	-1.906373	-0.501298	-0.739706	4.970616	-1.695302
0.429304	1.183599	0.772476	0.673374	-0.003343	-0.008924	-0.739240	0.019622	-0.355016	-0.032295	-0.009718	0.747937	-0.455403	0.073200	0.297582	0.049477	0.017887	0.633009	-0.394415	-0.055258	0.040308	0.087241	-0.575376	-0.134174	0.005579	-0.080799	0.512788	-0.119218	-0.114683	-0.343498	-0.018895	-0.155070	0.391676	-0.123592	-0.039043	0.305096	0.014513	0.373795	0.261900	-0.161109	-0.016575	-0.218198	0.317365	-1.629753	-0.878638	-0.306346	-0.241090	1.663043	-0.773934
0.429533	1.183063	0.772486	0.672976	-0.002998	-0.008642	-0.739608	0.017315	-0.355689	-0.032185	-0.008116	0.749059	-0.455640	0.072164	0.297566	0.049694	0.020987	0.631445	-0.395018	-0.055870	0.038938	0.088743	-0.581987	-0.138822	0.003915	-0.081865	0.520140	-0.123294	-0.112609	-0.014728	0.002409	0.109586	0.028336	-0.020980	-0.051676	-0.004957	0.004492	0.140741	-0.094815	-0.021826	-0.043708	-0.060672	0.065463	-0.272065	-0.201679	-0.072766	-0.046106	0.316896	-0.177069
0.429830	1.182640	0.772504	0.672561	-0.002673	-0.008409	-0.739990	0.015118	-0.355605	-0.032199	-0.005335	0.749071	-0.456242	0.071133	0.297383	0.049656	0.023517	0.629217	-0.395288	-0.057007	0.037881	0.089859	-0.586259	-0.142241	0.002668	-0.082644	0.525464	-0.126301	-0.092032	0.035729	-0.010487	0.150913	-0.025803	-0.034093	-0.029629	-0.010168	-0.022597	0.091613	-0.105064	-0.033040	-0.060370	-0.052402	0.055923	-0.200865	-0.169855	-0.062756	-0.039196	0.261709	-0.149499
0.430159	1.182240	0.772540	0.672084	-0.002128	-0.008147	-0.740427	0.013634	-0.354259	-0.032605	-0.002079	0.748027	-0.457003	0.070979	0.297159	0.048790	0.024652	0.627242	-0.396339	-0.058285	0.036842	0.090980	-0.590022	-0.145617	0.001405	-0.083433	0.530609	-0.129274	-0.056478	0.085382	-0.015897	0.167198	-0.096126	-0.055327	-0.018346	-0.003374	-0.034627	0.024554	-0.089318	-0.119858	-0.074815	-0.049551	0.057360	-0.178589	-0.167836	-0.063860	-0.039890	0.252350	-0.148206
0.430407	1.181951	0.772446	0.671683	-0.001833	-0.007970	-0.740793	0.012859	-0.352190	-0.032835	0.001353	0.745225	-0.458455	0.070399	0.297249	0.048271	0.024499	0.625644	-0.400082	-0.059999	0.035899	0.092154	-0.593403	-0.148955	0.000113	-0.084239	0.535558	-0.132229	-0.011940	0.110745	-0.011444	0.144934	-0.156711	-0.066680	-0.017475	-0.002791	-0.042034	-0.086724	-0.039345	-0.312629	-0.065297	-0.044611	0.060381	-0.161554	-0.165870	-0.065819	-0.040687	0.240277	-0.147492
0.430622	1.181658	0.772335	0.671435	-0.001435	-0.007535	-0.741024	0.013156	-0.349830	-0.033063	0.003718	0.741759	-0.459670	0.070280	0.297048	0.047108	0.021183	0.625668	-0.408844	-0.060897	0.035058	0.093396	-0.596484	-0.152251	-0.001228	-0.085060	0.540220	-0.135173	0.045022	0.145613	-0.017332	0.094377	-0.167735	-0.067273	0.002997	-0.005793	-0.072150	-0.215703	0.074066	-0.403478	-0.006386	-0.038293	0.063034	-0.151195	-0.163661	-0.067510	-0.041481	0.224036	-0.146675
0.430817	1.181199	0.772184	0.671562	-0.001415	-0.007431	-0.740910	0.014660	-0.346365	-0.033528	0.005128	0.738516	-0.461146	0.070519	0.297017	0.045385	0.015871	0.628606	-0.416221	-0.060255	0.034368	0.094675	-0.599450	-0.155501	-0.002587	-0.085898	0.544519	-0.138096	0.101986	0.190801	-0.033293	0.046969	-0.160399	-0.069387	0.025800	0.014967	-0.084576	-0.239671	0.192268	-0.253425	0.023625	-0.030002	0.064874	-0.150150	-0.161221	-0.067322	-0.042443	0.205816	-0.145591
0.431003	1.180635	0.772063	0.671839	-0.001531	-0.007472	-0.740658	0.017235	-0.342198	-0.034394	0.005597	0.735343	-0.462446	0.071312	0.297646	0.043725	0.011596	0.633359	-0.418981	-0.059952	0.033858	0.095991	-0.602490	-0.158700	-0.003921	-0.086758	0.548453	-0.140997	0.135830	0.211106	-0.056402	-0.002145	-0.160116	-0.053336	0.043967	0.064190	-0.092212	-0.209644	0.267763	-0.019452	-0.020289	-0.021788	0.065987	-0.156240	-0.158546	-0.065492	-0.043408	0.186493	-0.144158
0.431261	1.180050	0.771967	0.672681	-0.001753	-0.007662	-0.739891	0.020093	-0.337921	-0.035784	0.005042	0.732111	-0.463279	0.072277	0.299584	0.041697	0.007485	0.639317	-0.416999	-0.061066	0.033496	0.097314	-0.605700	-0.161843	-0.005207	-0.087635	0.551979	-0.143862	0.148866	0.214873	-0.078599	-0.054388	-0.163251	-0.040459	0.049822	0.112227	-0.126814	-0.253567	0.312644	0.160712	-0.075537	-0.015363	0.065781	-0.166531	-0.155826	-0.062664	-0.044060	0.167410	-0.142197
